1Je;aller;à la plage.
6Maman et papa;manger;des raviolis.
*;faire;un château de sable.
4Lola, Arthur et moi;avoir;une bonne note à la dernière évaluation.
4Mamie et moi;être;allés au planétarium pendant les vacances.
4Lulu et moi;jouer;dans la cour.
6Sami et Hugo;jouer;dans la cour.
*;vouloir;décrocher la lune.
*;avoir;les yeux plus gros que le ventre.
*;chercher;midi à quatorze heures.
*;avoir;de la chance.
*;plaisanter;avec Lisa.
*;organiser;une tombola.
*;venir;à la kermesse de l'école.
*;dire;toujours la vérité.
*;pouvoir;jouer dans la cour pendant la récréation.
*;adorer;faire des exercices de conjugaison.
